Nama Petarung,Jumlah Pertandingan,Jumlah Kemenangan,Jumlah Kekalahan,Tinggi (cm),Berat (kg),KO,Submission,Keputusan,Usia,Divisi,Negara Asal
Ian McCall,19,13,6,165,57,3,7,3,38,Flyweight,United States
Paul Daley,64,42,22,180,77,33,5,4,38,Welterweight,United Kingdom
Vitor Belfort,41,26,14,183,84,18,3,5,44,Middleweight/Bantamweight/Brazil,Brasil
Cat Zingano,17,11,6,168,61,4,7,0,39,Featherweight/Bantamweight,United States
Mark Hunt,44,31,13,178,120,18,11,2,48,Heavyweight/New Zealand,New Zealand
Fabricio Werdum,35,24,11,193,109,11,11,2,44,Heavyweight,Brazil
Ronda Rousey,14,12,2,170,61,3,9,0,35,Bantamweight/Featherweight,United States
Ben Askren,22,19,3,180,77,6,7,6,37,Welterweight/ Middleweight,United States
Diego Sanchez,42,30,12,180,77,7,12,3,40,Lightweight/Welterweight,United States
Donald Cerrone,53,36,17,183,77,23,8,5,39,Welterweight,United States
Roy Nelson,42,23,18,185,120,20,3,10,45,Heavyweight,United States
Renan Barão,45,34,11,170,61,12,11,11,34,Bantamweight/Featherweight,Brazil
Josh Barnett,43,35,8,191,120,21,9,5,44,Heavyweight,United States
Chris Weidman,19,15,4,188,84,6,7,2,38,Middleweight,United States
Thiago Alves,34,23,11,175,77,14,2,7,38,Welterweight,Brazil
Uriah Hall,19,13,6,183,84,9,2,2,38,Middleweight,Jamaica
Miesha Tate,25,18,7,170,61,3,10,5,35,Bantamweight/Featherweight,United States
Chris Leben,34,22,12,180,84,15,2,5,41,Middleweight,United States
Benson Henderson,33,28,5,178,70,7,10,11,38,Lightweight/Welterweight,United States
Rory MacDonald,29,21,8,183,77,9,8,4,33,Welterweight,Canada
Gray Maynard,23,13,9,175,70,6,5,2,42,Lightweight,United States
Matt Brown,46,24,22,183,77,14,8,2,40,Welterweight,United States
Rich Franklin,39,29,11,185,84,14,2,7,47,Middleweight/ Light Heavyweight,United States
Nate Diaz,33,20,13,183,77,5,11,7,38,Lightweight/Welterweight,United States
Cain Velasquez,14,12,2,185,111,10,3,1,39,Heavyweight,United States
Raphael Assunção,33,27,6,168,61,7,14,6,39,Bantamweight, Brazil
Diego Brandão,36,25,11,175,66,9,13,3,34,Featherweight, Brazil
Urijah Faber,45,35,10,168,61,10,13,12,42,Bantamweight,United States
T.J. Grant,23,21,2,178,70,12,6,3,37,Lightweight,Canada
Cat Zingano,17,11,6,168,61,4,7,0,39,Featherweight/Bantamweight,United States
Thiago Alves,34,23,11,175,77,14,2,7,38,Welterweight,Brazil
Frankie Edgar,31,24,7,168,61,7,6,11,40,Bantamweight/Featherweight,United States
Cub Swanson,40,27,13,175,66,12,6,9,38,Featherweight,United States
Ricardo Lamas,23,19,4,170,66,5,7,7,39,Featherweight,United States
Stefan Struve,40,29,11,213,115,29,17,5,34,Heavyweight,Netherlands
Diego Sanchez,42,30,12,180,77,7,12,3,40,Lightweight/Welterweight,United States
Rampage Jackson,51,38,13,183,93,15,7,16,43,Light Heavyweight/Heavyweight,United States
Chad Mendes,21,18,3,165,66,7,7,4,36,Featherweight,United States
Uriah Hall,19,13,6,183,84,9,2,2,38,Middleweight,Jamaica
Sam Alvey,52,33,19,188,93,21,7,5,35,Light Heavyweight/ Middleweight,United States
Tim Kennedy,27,18,9,183,84,8,8,2,42,Middleweight,United States
Alistair Overeem,66,47,19,193,120,25,17,5,43,Heavyweight, Netherlands
Mark Munoz,25,14,11,178,84,10,4,5,43,Light Heavyweight/ Middleweight,United States
Lorenz Larkin,33,23,10,178,77,10,5,8,35,Welterweight/Middleweight,United States
Travis Browne,27,18,7,203,109,14,3,1,39,Heavyweight,United States
Stipe Miocic,23,20,3,193,110,15,2,6,39,Heavyweight,United States
Dan Hardy,36,25,11,183,77,15,6,4,39,Welterweight,United Kingdom
Renato Moicano,17,14,3,175,66,4,9,1,32,Featherweight/Bantamweight,Brazil
Tom Lawlor,17,10,7,188,93,7,2,8,38,Light Heavyweight/ Middleweight,United States
Ross Pearson,34,20,14,175,70,9,2,9,37,Lightweight,United Kingdom
Lyoto Machida,33,26,7,185,84,11,2,13,43,Light Heavyweight, Brazil
Ovince Saint Preux,34,25,9,191,93,11,7,7,38,Light Heavyweight,United States
Roy Nelson,42,23,18,185,120,20,3,10,45,Heavyweight,United States
